epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,778.339,1.85361,5.50727,1.19122,0,0,0,0,0,0,0,0.00243924,0.00243924,0.00243924
2,1522.78,1.70434,3.85506,1.11621,0,0,0,0,0,0,0,0.00483009,0.00483009,0.00483009
3,2259.49,1.57816,3.18442,1.08519,0,0,0,0,0,0,0,0.0071724,0.0071724,0.0071724
4,2993.05,1.49855,2.75823,1.06574,0,0,0,0,0,0,0,0.00946618,0.00946618,0.00946618
5,3724.38,1.41156,2.43573,1.04185,0,0,0,0,0,0,0,0.00960206,0.00960206,0.00960206
6,4455.6,1.34832,2.16541,1.02704,0,0,0,0,0,0,0,0.00950257,0.00950257,0.00950257
7,5186.87,1.30801,1.98735,1.01762,0,0,0,0,0,0,0,0.00940309,0.00940309,0.00940309
8,5918.14,1.269,1.84971,1.00599,0,0,0,0,0,0,0,0.0093036,0.0093036,0.0093036
9,6649.52,1.24695,1.74634,0.9998,0,0,0,0,0,0,0,0.00920412,0.00920412,0.00920412
10,7381.11,1.22237,1.66276,0.9934,0,0,0,0,0,0,0,0.00910463,0.00910463,0.00910463
11,8112.27,1.20086,1.5925,0.98811,0,0,0,0,0,0,0,0.00900515,0.00900515,0.00900515
12,8843.58,1.18641,1.53648,0.98471,0,0,0,0,0,0,0,0.00890567,0.00890567,0.00890567
13,9574.93,1.17805,1.49704,0.98301,0,0,0,0,0,0,0,0.00880618,0.00880618,0.00880618
14,10306.4,1.16292,1.4496,0.97913,0,0,0,0,0,0,0,0.0087067,0.0087067,0.0087067
15,11037.5,1.15225,1.41285,0.97536,0,0,0,0,0,0,0,0.00860721,0.00860721,0.00860721
16,11769,1.13945,1.37497,0.97261,0,0,0,0,0,0,0,0.00850772,0.00850772,0.00850772
17,12500.3,1.13248,1.33892,0.9702,0,0,0,0,0,0,0,0.00840824,0.00840824,0.00840824
18,13231.5,1.12608,1.31586,0.96801,0,0,0,0,0,0,0,0.00830875,0.00830875,0.00830875
19,13962.2,1.1149,1.29257,0.96628,0,0,0,0,0,0,0,0.00820927,0.00820927,0.00820927
20,14693.3,1.10787,1.26988,0.96441,0,0,0,0,0,0,0,0.00810979,0.00810979,0.00810979
21,15424.4,1.10223,1.25326,0.96211,0,0,0,0,0,0,0,0.0080103,0.0080103,0.0080103
22,16155.8,1.098,1.23468,0.96127,0,0,0,0,0,0,0,0.00791081,0.00791081,0.00791081
23,16886.6,1.09247,1.2152,0.9611,0,0,0,0,0,0,0,0.00781133,0.00781133,0.00781133
24,17617.6,1.08657,1.19917,0.9598,0,0,0,0,0,0,0,0.00771185,0.00771185,0.00771185
25,18348.6,1.07328,1.17992,0.95496,0,0,0,0,0,0,0,0.00761236,0.00761236,0.00761236
26,19080.2,1.07025,1.17308,0.95509,0,0,0,0,0,0,0,0.00751288,0.00751288,0.00751288
27,19811.4,1.07182,1.16037,0.95454,0,0,0,0,0,0,0,0.00741339,0.00741339,0.00741339
28,20542.7,1.06732,1.15011,0.95449,0,0,0,0,0,0,0,0.0073139,0.0073139,0.0073139
29,21274.1,1.05258,1.12288,0.94993,0,0,0,0,0,0,0,0.00721442,0.00721442,0.00721442
30,22005.7,1.05244,1.10997,0.94945,0,0,0,0,0,0,0,0.00711494,0.00711494,0.00711494
31,22736.7,1.04969,1.10779,0.94936,0,0,0,0,0,0,0,0.00701545,0.00701545,0.00701545
