epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,37.084,1.07473,5.7728,1.34292,0.00068,0.02315,0.00063,0.00058,0.53111,4.80924,1.00629,7.98632e-06,7.98632e-06,7.98632e-06
2,65.9275,0.6283,5.51369,1.06587,0.00324,0.12384,0.00532,0.00499,0.46186,4.58855,0.94317,1.56698e-05,1.56698e-05,1.56698e-05
3,94.3986,0.57805,5.38515,1.03155,0.00258,0.23356,0.00789,0.00733,0.43389,4.44967,0.9101,2.30365e-05,2.30365e-05,2.30365e-05
4,122.806,0.55565,5.27251,1.01777,0.00373,0.31838,0.01618,0.01508,0.40882,4.32323,0.88806,2.25744e-05,2.25744e-05,2.25744e-05
5,151.1,0.54936,5.16157,1.02186,0.00366,0.42079,0.02288,0.02145,0.39307,4.20427,0.87638,2.20992e-05,2.20992e-05,2.20992e-05
6,179.463,0.54982,5.0662,1.01879,0.54946,0.0419,0.03838,0.03533,0.38068,4.03571,0.86671,2.1624e-05,2.1624e-05,2.1624e-05
7,208.074,0.54083,4.94922,1.01743,0.47965,0.06013,0.04455,0.0412,0.38128,3.91567,0.86298,2.11488e-05,2.11488e-05,2.11488e-05
8,236.779,0.53467,4.86045,1.01284,0.54463,0.05029,0.06154,0.05735,0.37484,3.80705,0.85939,2.06736e-05,2.06736e-05,2.06736e-05
9,265.092,0.52819,4.77067,1.01231,0.68451,0.03891,0.07539,0.06999,0.37384,3.68314,0.86153,2.01984e-05,2.01984e-05,2.01984e-05
10,293.556,0.52347,4.66772,1.0063,0.61489,0.06719,0.09411,0.08778,0.37583,3.57389,0.86006,1.97232e-05,1.97232e-05,1.97232e-05
11,321.851,0.52719,4.60653,1.01053,0.53061,0.09717,0.116,0.10833,0.36801,3.44038,0.85751,1.9248e-05,1.9248e-05,1.9248e-05
12,350.678,0.51621,4.50632,1.00252,0.52968,0.1188,0.13411,0.12512,0.37232,3.32068,0.86197,1.87728e-05,1.87728e-05,1.87728e-05
13,379.205,0.52424,4.44905,1.00695,0.51235,0.14123,0.16336,0.15372,0.36796,3.23253,0.85808,1.82976e-05,1.82976e-05,1.82976e-05
14,407.746,0.51917,4.39129,1.00083,0.53663,0.16446,0.18359,0.17298,0.36848,3.15896,0.86036,1.78224e-05,1.78224e-05,1.78224e-05
15,436.289,0.50775,4.30795,0.99911,0.51881,0.17883,0.19991,0.18782,0.36944,3.03726,0.8642,1.73472e-05,1.73472e-05,1.73472e-05
16,464.781,0.50766,4.24513,0.99418,0.50264,0.22504,0.23434,0.22055,0.37162,2.93574,0.86401,1.6872e-05,1.6872e-05,1.6872e-05
17,493.452,0.50994,4.19539,0.99887,0.44295,0.25535,0.26085,0.24627,0.36889,2.84629,0.86556,1.63968e-05,1.63968e-05,1.63968e-05
18,522.237,0.51162,4.145,1.00029,0.4131,0.30085,0.28656,0.27264,0.37008,2.76814,0.8724,1.59216e-05,1.59216e-05,1.59216e-05
19,550.878,0.50387,4.07832,0.99412,0.46988,0.30632,0.30882,0.29291,0.37064,2.68859,0.87087,1.54464e-05,1.54464e-05,1.54464e-05
20,579.467,0.50137,4.04446,0.99093,0.45037,0.33898,0.34556,0.3277,0.36533,2.61681,0.86882,1.49712e-05,1.49712e-05,1.49712e-05
21,608.152,0.50669,3.98494,0.99599,0.45781,0.36786,0.36272,0.34466,0.36412,2.56267,0.87053,1.4496e-05,1.4496e-05,1.4496e-05
