epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,27.5527,1.09763,5.77103,1.37335,0.0041,0.11894,0.00538,0.00444,0.55919,4.64219,1.03709,7.98632e-06,7.98632e-06,7.98632e-06
2,53.4487,0.64951,5.42562,1.08863,0.00262,0.22782,0.01123,0.01045,0.47561,4.42463,0.95994,1.56698e-05,1.56698e-05,1.56698e-05
3,78.842,0.60594,5.24837,1.06585,0.00287,0.37505,0.01601,0.01446,0.45041,4.20739,0.92725,2.30365e-05,2.30365e-05,2.30365e-05
4,104.182,0.584,5.09085,1.05553,0.00778,0.52898,0.02678,0.0237,0.46753,4.05322,0.92706,2.25744e-05,2.25744e-05,2.25744e-05
5,129.612,0.58027,4.97282,1.05706,0.00568,0.62296,0.04108,0.0371,0.44523,3.91048,0.92006,2.20992e-05,2.20992e-05,2.20992e-05
6,155.186,0.57903,4.83724,1.05953,0.00818,0.71995,0.06825,0.06117,0.43146,3.75899,0.91788,2.1624e-05,2.1624e-05,2.1624e-05
7,180.613,0.56205,4.74459,1.05004,0.73154,0.04378,0.0813,0.07357,0.43231,3.6137,0.9163,2.11488e-05,2.11488e-05,2.11488e-05
8,205.997,0.5606,4.62225,1.04901,0.62015,0.07533,0.09416,0.08463,0.45951,3.46499,0.92845,2.06736e-05,2.06736e-05,2.06736e-05
9,231.322,0.55234,4.51602,1.04704,0.58914,0.09213,0.11418,0.10399,0.43135,3.36333,0.91984,2.01984e-05,2.01984e-05,2.01984e-05
10,256.941,0.54612,4.43999,1.04203,0.61406,0.11356,0.13618,0.12445,0.42505,3.24972,0.91921,1.97232e-05,1.97232e-05,1.97232e-05
11,282.375,0.54684,4.36181,1.04328,0.62222,0.13933,0.1665,0.15218,0.43173,3.12765,0.92288,1.9248e-05,1.9248e-05,1.9248e-05
12,307.815,0.53522,4.26479,1.03717,0.58258,0.17236,0.19958,0.18366,0.43491,3.00847,0.92403,1.87728e-05,1.87728e-05,1.87728e-05
13,333.175,0.53838,4.19271,1.03366,0.56223,0.19902,0.21785,0.20139,0.41737,2.92199,0.92576,1.82976e-05,1.82976e-05,1.82976e-05
14,358.577,0.54005,4.14422,1.0358,0.50738,0.24412,0.24543,0.22728,0.42669,2.82998,0.92441,1.78224e-05,1.78224e-05,1.78224e-05
15,384.224,0.53117,4.06377,1.03308,0.51139,0.26552,0.28585,0.26458,0.42165,2.73672,0.92844,1.73472e-05,1.73472e-05,1.73472e-05
16,409.681,0.53389,4.00259,1.02885,0.52165,0.32113,0.31953,0.29676,0.42865,2.65338,0.93544,1.6872e-05,1.6872e-05,1.6872e-05
17,435.105,0.53064,3.93409,1.02901,0.49951,0.33813,0.33967,0.31631,0.43472,2.60594,0.94222,1.63968e-05,1.63968e-05,1.63968e-05
18,460.537,0.5334,3.88145,1.03156,0.53833,0.33662,0.37888,0.35271,0.4325,2.50837,0.94974,1.59216e-05,1.59216e-05,1.59216e-05
19,485.981,0.53311,3.84068,1.03612,0.55277,0.37844,0.407,0.3799,0.42617,2.42958,0.9396,1.54464e-05,1.54464e-05,1.54464e-05
20,511.614,0.52644,3.79985,1.02908,0.56919,0.4036,0.43517,0.40507,0.44363,2.37844,0.94347,1.49712e-05,1.49712e-05,1.49712e-05
21,536.986,0.52463,3.75011,1.02782,0.55971,0.4227,0.45955,0.4269,0.44039,2.30615,0.9445,1.4496e-05,1.4496e-05,1.4496e-05
22,562.422,0.53331,3.7091,1.0339,0.5122,0.47229,0.48253,0.45239,0.42543,2.24386,0.94327,1.40208e-05,1.40208e-05,1.40208e-05
23,587.824,0.52099,3.64977,1.02772,0.58127,0.45825,0.49746,0.4687,0.42489,2.20317,0.94419,1.35456e-05,1.35456e-05,1.35456e-05
24,613.242,0.52877,3.6264,1.03015,0.51575,0.49179,0.51664,0.4834,0.4321,2.15611,0.95167,1.30704e-05,1.30704e-05,1.30704e-05
25,638.782,0.51879,3.56888,1.02309,0.5493,0.49017,0.53302,0.49983,0.42322,2.12808,0.9466,1.25952e-05,1.25952e-05,1.25952e-05
26,664.202,0.51475,3.53514,1.02289,0.57138,0.50582,0.55489,0.52044,0.42538,2.05085,0.9462,1.212e-05,1.212e-05,1.212e-05
27,689.541,0.51643,3.50996,1.02218,0.56052,0.51646,0.56741,0.5327,0.42306,2.0254,0.94618,1.16448e-05,1.16448e-05,1.16448e-05
28,714.916,0.51919,3.46578,1.02636,0.5512,0.54429,0.60129,0.56426,0.42546,1.97462,0.94802,1.11696e-05,1.11696e-05,1.11696e-05
29,740.502,0.51432,3.44775,1.0267,0.56008,0.55146,0.61334,0.57507,0.4209,1.93172,0.94567,1.06944e-05,1.06944e-05,1.06944e-05
30,765.91,0.51328,3.40159,1.02159,0.58203,0.56784,0.63023,0.59216,0.41095,1.87894,0.94382,1.02192e-05,1.02192e-05,1.02192e-05
31,791.293,0.50954,3.36578,1.01852,0.57452,0.57463,0.6427,0.60479,0.41466,1.87632,0.94372,9.744e-06,9.744e-06,9.744e-06
32,816.73,0.51004,3.34572,1.01953,0.56886,0.58633,0.64994,0.60823,0.41816,1.87472,0.94545,9.2688e-06,9.2688e-06,9.2688e-06
33,842.137,0.51267,3.32661,1.01801,0.54944,0.60327,0.66178,0.62191,0.41352,1.81252,0.94191,8.7936e-06,8.7936e-06,8.7936e-06
34,867.724,0.50187,3.28796,1.01636,0.58204,0.59584,0.67202,0.63217,0.41445,1.78993,0.94157,8.3184e-06,8.3184e-06,8.3184e-06
35,893.158,0.50489,3.26895,1.01501,0.56734,0.61641,0.68033,0.63997,0.41285,1.77161,0.9401,7.8432e-06,7.8432e-06,7.8432e-06
36,918.514,0.50567,3.2483,1.01647,0.56114,0.63521,0.69996,0.65851,0.40461,1.71891,0.93527,7.368e-06,7.368e-06,7.368e-06
37,943.908,0.51001,3.24251,1.0189,0.57921,0.63548,0.70041,0.65886,0.40532,1.7232,0.93848,6.8928e-06,6.8928e-06,6.8928e-06
38,969.328,0.50469,3.18876,1.02094,0.5601,0.62535,0.70262,0.66087,0.40725,1.70141,0.93898,6.4176e-06,6.4176e-06,6.4176e-06
39,994.859,0.49797,3.17333,1.01275,0.57437,0.6447,0.71254,0.67126,0.40722,1.67791,0.93811,5.9424e-06,5.9424e-06,5.9424e-06
